URL,Type,Description,Group
https://zalo.me/s/vemaybay,Mini App,Mini App đặt vé máy bay,Transportation
https://zalo.me/4105849197048860730,Mini App,"Vexere - Vé máy bay, tàu hỏa",Transportation
https://zalo.me/1315653076309382882,OA,Vietjet Air,Transportation
https://zalo.me/3149253679280388721,OA,Vietnam Airlines,Transportation
https://zalo.me/4105849197048860730,OA,"Vexere - Vé máy bay, tàu hỏa",Transportation
https://zalo.me/1090257973118325189,OA,FUTA,Transportation
https://zalo.me/0948338800,zBusiness,Havana Nha Trang Hotel,Accommodation
https://zalo.me/789231673960030970,OA,Khách sạn Meliá Vinpearl Nha Trang Empire,Accommodation
https://zalo.me/3556873486474852700,OA,Sheraton Nha Trang Hotel & Spa,Accommodation
https://zalo.me/4330583059155161906,OA,InterContinental Nha Trang,Accommodation
https://zalo.me/1947958835296336440,OA,Mường Thanh Hospitality,Accommodation
https://zalo.me/4080288475866618900,OA,Panama Nha Trang,Accommodation
https://zalo.me/s/3964302494973401385/,Mini App,Thầy Vinh Dạy Bơi Nha Trang Swim,Activity
https://zalo.me/s/1144938570296923407/,Mini App,Dạy bơi Nha trang Swimming Coaches,Activity
https://zalo.me/s/4525256323348108293,Mini App,Nem Nướng Nha Trang Quế Quân,Restaurant
https://zalo.me/s/121804492084093201,Mini App,Bún chả cá sứa Nha Trang Thảo Hà,Restaurant
https://zalo.me/s/920029219056349608,Mini App,Nhà hàng Khoái Hải sản và Đặc Sản Nha Trang,Restaurant
https://zalo.me/1140403146893715685,OA,Ga coffee Nha Trang,Restaurant
https://zalo.me/2735455120264370827,OA,ZEN Coffee Nha Trang,Restaurant
https://zalo.me/1342192031247816245,OA,KFC Vinpearl Hòn Tre,Restaurant
